127.0.0.1 - - [12/Feb/2025:13:45:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/HomeController HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/css/member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/js/memberCheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/js/BeaverValidChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/js/boardCheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/js/go.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/css/maka1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:20 +0900] "GET /Feb06_2_SNS/css/Imsoso.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:36 +0900] "POST /Feb06_2_SNS/LoginController HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:36 +0900] "GET /Feb06_2_SNS/img/11.jpg HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:43 +0900] "GET /Feb06_2_SNS/MemberInfoController HTTP/1.1" 200 8644
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:43 +0900] "GET /Feb06_2_SNS/img/11.jpg HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:54 +0900] "POST /Feb06_2_SNS/MemberInfoController HTTP/1.1" 200 8644
0:0:0:0:0:0:0:1 - - [12/Feb/2025:13:45:54 +0900] "GET /Feb06_2_SNS/img/11.jpg HTTP/1.1" 404 837
